sample_id,iteration,timestamp,controller_name,scenario_name,nodes,topology_type,bandwidth_demand,throughput_mbps,latency_ms,packet_loss_percent,score_reliability,jitter_ms,cpu_usage_percent,memory_usage_mb,flow_setup_time_ms,score_compliance,score_efficiency,score_stability,ahp_score,best_controller_label,score_gap,resource_method,connectivity_status
1,1,2026-05-15T05:41:37.478373,ryu,Star_8n_5M,8,star,5M,50136.2,0.067,0.0,1.0,0.006,0.06,45.49,20.12,0.9544,0.8738,0.9831,0.9412,ryu,0.1047,hybrid_p95,CONTROLLER
2,1,2026-05-15T05:43:01.833066,floodlight,Star_8n_5M,8,star,5M,49724.78,0.058,0.0,1.0,0.007,41.68,338.61,15.81,0.91,0.4961,0.9867,0.8365,ryu,0.1047,hybrid_p95,CONTROLLER
3,1,2026-05-15T05:45:33.835830,onos,Star_8n_5M,8,star,5M,50353.93,0.278,0.0,1.0,0.549,10.13,766.61,18.8,0.646,0.7063,0.9761,0.685,ryu,0.1047,hybrid_p95,CONTROLLER
4,1,2026-05-15T05:46:56.129644,ryu,Star_8n_15M,8,star,15M,51075.14,0.063,0.0,1.0,0.004,0.06,33.33,20.96,0.6853,0.8837,0.9825,0.7483,floodlight,0.1004,hybrid_p95,CONTROLLER
5,1,2026-05-15T05:48:20.498630,floodlight,Star_8n_15M,8,star,15M,49333.44,0.055,0.0,1.0,0.007,32.71,355.2,23.05,0.91,0.5619,0.9807,0.8487,floodlight,0.1004,hybrid_p95,CONTROLLER
6,1,2026-05-15T05:50:51.642795,onos,Star_8n_15M,8,star,15M,49901.3,0.064,0.0,1.0,0.006,7.99,739.82,13.55,0.5853,0.7235,0.9886,0.6455,floodlight,0.1004,hybrid_p95,CONTROLLER
7,1,2026-05-15T05:52:13.901514,ryu,Star_8n_30M,8,star,30M,50389.46,0.066,0.0,1.0,0.013,0.06,33.33,19.57,0.7124,0.8837,0.9835,0.7679,floodlight,0.083,hybrid_p95,CONTROLLER
8,1,2026-05-15T05:53:38.244446,floodlight,Star_8n_30M,8,star,30M,48846.54,0.053,0.0,1.0,0.004,31.5,359.62,15.0,0.91,0.5706,0.9874,0.8509,floodlight,0.083,hybrid_p95,CONTROLLER
9,1,2026-05-15T05:56:09.674121,onos,Star_8n_30M,8,star,30M,49641.58,0.069,0.0,1.0,0.008,10.38,736.31,20.95,0.6024,0.7057,0.9824,0.6539,floodlight,0.083,hybrid_p95,CONTROLLER
10,1,2026-05-15T05:57:31.886129,ryu,Star_8n_80M,8,star,80M,50459.97,0.067,0.0,1.0,0.01,0.06,33.33,20.63,0.964,0.8837,0.9827,0.9501,ryu,0.0987,hybrid_p95,CONTROLLER
11,1,2026-05-15T05:58:56.283694,floodlight,Star_8n_80M,8,star,80M,48844.38,0.054,0.0,1.0,0.004,31.14,330.7,22.84,0.91,0.576,0.9809,0.8514,ryu,0.0987,hybrid_p95,CONTROLLER
12,1,2026-05-15T06:01:27.811005,onos,Star_8n_80M,8,star,80M,49932.9,0.182,0.0,1.0,0.298,7.48,735.2,23.35,0.6166,0.7276,0.9761,0.6679,ryu,0.0987,hybrid_p95,CONTROLLER
