sample_id,iteration,timestamp,controller_name,scenario_name,nodes,topology_type,bandwidth_demand,throughput_mbps,latency_ms,packet_loss_percent,score_reliability,jitter_ms,cpu_usage_percent,memory_usage_mb,flow_setup_time_ms,score_compliance,score_efficiency,score_stability,ahp_score,best_controller_label,score_gap,resource_method,connectivity_status
1,1,2026-07-13T17:36:17.855778,ryu,Mesh_4n_10M,4,mesh,10M,30662.46,0.108,0.0,1.0,0.036,0.38,35.22,17.58,0.556,0.8796,0.9848,0.654,onos,0.1721,hybrid_p95,CONTROLLER
2,1,2026-07-13T17:38:12.029375,floodlight,Mesh_4n_10M,4,mesh,10M,32804.25,0.087,0.0,1.0,0.01,33.48,418.7,19.43,0.7802,0.5507,0.9837,0.7528,onos,0.1721,hybrid_p95,CONTROLLER
3,1,2026-07-13T17:40:43.038959,onos,Mesh_4n_10M,4,mesh,10M,46958.39,0.073,0.0,1.0,0.009,21.43,840.26,20.77,1.0,0.6184,0.9826,0.9249,onos,0.1721,hybrid_p95,CONTROLLER
4,1,2026-07-13T17:42:35.074181,ryu,Mesh_4n_100M,4,mesh,100M,36006.99,0.103,0.0,1.0,0.006,0.4,35.23,21.01,0.563,0.8794,0.9824,0.6589,onos,0.2751,hybrid_p95,CONTROLLER
5,1,2026-07-13T17:44:29.179511,floodlight,Mesh_4n_100M,4,mesh,100M,35035.17,0.102,0.0,1.0,0.033,31.85,419.1,19.1,0.5696,0.5629,0.9836,0.6027,onos,0.2751,hybrid_p95,CONTROLLER
6,1,2026-07-13T17:47:00.246396,onos,Mesh_4n_100M,4,mesh,100M,47502.12,0.077,0.0,1.0,0.006,14.74,910.8,21.65,1.0,0.666,0.9819,0.934,onos,0.2751,hybrid_p95,CONTROLLER
7,1,2026-07-13T17:48:52.252333,ryu,Mesh_4n_1000M,4,mesh,1000M,32284.13,0.096,0.0,1.0,0.006,0.49,35.21,18.36,0.5718,0.8787,0.9846,0.6653,onos,0.0568,hybrid_p95,CONTROLLER
8,1,2026-07-13T17:50:46.356706,floodlight,Mesh_4n_1000M,4,mesh,1000M,30370.72,0.071,0.351,1.0,0.021,29.92,419.21,18.03,0.91,0.5774,0.9847,0.852,onos,0.0568,hybrid_p95,CONTROLLER
9,1,2026-07-13T17:53:19.494081,onos,Mesh_4n_1000M,4,mesh,1000M,41252.99,0.073,0.0,1.0,0.007,18.94,746.04,19.58,0.9717,0.641,0.9836,0.9088,onos,0.0568,hybrid_p95,CONTROLLER
10,1,2026-07-13T17:55:11.966164,ryu,Mesh_5n_10M,5,mesh,10M,27627.29,0.115,0.0,1.0,0.013,0.69,35.27,17.99,0.5631,0.8772,0.9848,0.6588,onos,0.2641,hybrid_p95,CONTROLLER
11,1,2026-07-13T17:57:06.595762,floodlight,Mesh_5n_10M,5,mesh,10M,26174.73,0.106,0.0,1.0,0.011,50.05,488.52,15.53,0.6337,0.4212,0.9869,0.622,onos,0.2641,hybrid_p95,CONTROLLER
12,1,2026-07-13T17:59:38.950693,onos,Mesh_5n_10M,5,mesh,10M,44467.15,0.074,0.0,1.0,0.01,22.72,840.5,22.9,1.0,0.6087,0.9808,0.9229,onos,0.2641,hybrid_p95,CONTROLLER
13,1,2026-07-13T18:01:31.303560,ryu,Mesh_5n_100M,5,mesh,100M,41350.83,0.083,0.0,1.0,0.006,0.33,35.28,18.43,0.9023,0.8799,0.9846,0.9048,ryu,0.0117,hybrid_p95,CONTROLLER
14,1,2026-07-13T18:03:25.888190,floodlight,Mesh_5n_100M,5,mesh,100M,29506.3,0.104,0.0,1.0,0.011,33.73,437.4,13.56,0.556,0.5474,0.9885,0.5902,ryu,0.0117,hybrid_p95,CONTROLLER
15,1,2026-07-13T18:05:58.757487,onos,Mesh_5n_100M,5,mesh,100M,36718.09,0.075,0.0,1.0,0.016,25.86,795.5,23.71,0.9648,0.587,0.98,0.8931,ryu,0.0117,hybrid_p95,CONTROLLER
16,1,2026-07-13T18:07:51.307947,ryu,Mesh_5n_1000M,5,mesh,1000M,21714.72,0.115,0.178,1.0,0.027,0.56,35.28,13.68,0.6359,0.8781,0.9882,0.7119,onos,0.2095,hybrid_p95,CONTROLLER
17,1,2026-07-13T18:09:46.145832,floodlight,Mesh_5n_1000M,5,mesh,1000M,22889.92,0.122,0.007,1.0,0.037,49.39,456.42,18.49,0.5617,0.4284,0.984,0.5711,onos,0.2095,hybrid_p95,CONTROLLER
18,1,2026-07-13T18:12:21.800149,onos,Mesh_5n_1000M,5,mesh,1000M,40116.08,0.091,0.264,1.0,0.018,23.6,954.03,14.18,1.0,0.598,0.9879,0.9214,onos,0.2095,hybrid_p95,CONTROLLER
19,1,2026-07-13T18:14:14.864225,ryu,Mesh_6n_10M,6,mesh,10M,18510.85,0.158,0.0,1.0,0.037,0.72,35.34,16.65,0.556,0.8769,0.9856,0.6536,onos,0.0688,hybrid_p95,CONTROLLER
20,1,2026-07-13T18:16:10.133259,floodlight,Mesh_6n_10M,6,mesh,10M,32878.2,0.08,0.0,1.0,0.019,87.03,508.62,16.49,0.9703,0.1422,0.986,0.8118,onos,0.0688,hybrid_p95,CONTROLLER
21,1,2026-07-13T18:18:46.945855,onos,Mesh_6n_10M,6,mesh,10M,39947.82,0.09,0.0,1.0,0.023,28.71,918.71,24.74,0.9546,0.5608,0.979,0.8806,onos,0.0688,hybrid_p95,CONTROLLER
22,1,2026-07-13T18:20:39.942374,ryu,Mesh_6n_100M,6,mesh,100M,36277.3,0.087,0.0,1.0,0.016,0.67,35.34,17.11,0.9606,0.8773,0.9855,0.9466,ryu,0.0297,hybrid_p95,CONTROLLER
23,1,2026-07-13T18:22:35.103090,floodlight,Mesh_6n_100M,6,mesh,100M,20673.63,0.133,0.0,1.0,0.039,38.95,513.31,15.7,0.556,0.503,0.9863,0.5815,ryu,0.0297,hybrid_p95,CONTROLLER
24,1,2026-07-13T18:25:11.070852,onos,Mesh_6n_100M,6,mesh,100M,40102.28,0.084,0.0,1.0,0.014,26.79,870.72,20.24,1.0,0.577,0.9829,0.9169,ryu,0.0297,hybrid_p95,CONTROLLER
25,1,2026-07-13T18:27:04.060649,ryu,Mesh_6n_1000M,6,mesh,1000M,20831.38,0.144,0.002,1.0,0.03,0.72,35.32,15.98,0.556,0.8769,0.9862,0.6536,onos,0.1182,hybrid_p95,CONTROLLER
26,1,2026-07-13T18:28:59.305317,floodlight,Mesh_6n_1000M,6,mesh,1000M,35018.44,0.111,0.005,1.0,0.044,47.5,442.82,15.47,0.8724,0.4436,0.9864,0.7991,onos,0.1182,hybrid_p95,CONTROLLER
27,1,2026-07-13T18:31:36.071873,onos,Mesh_6n_1000M,6,mesh,1000M,39653.8,0.097,0.051,1.0,0.025,26.01,973.29,21.51,1.0,0.5792,0.9817,0.9173,onos,0.1182,hybrid_p95,CONTROLLER
