sample_id,iteration,timestamp,controller_name,scenario_name,nodes,topology_type,bandwidth_demand,throughput_mbps,latency_ms,packet_loss_percent,score_reliability,jitter_ms,cpu_usage_percent,memory_usage_mb,flow_setup_time_ms,score_compliance,score_efficiency,score_stability,ahp_score,best_controller_label,score_gap,resource_method,connectivity_status
1,1,2026-06-13T03:41:11.966371,ryu,Tree_D2_F2_bw10M,4,tree,10M,45210.75,0.076,0.0,1.0,0.005,0.38,33.57,22.93,0.8033,0.8811,0.9808,0.8331,floodlight,0.0142,hybrid_p95,CONTROLLER
2,1,2026-06-13T03:42:41.839257,floodlight,Tree_D2_F2_bw10M,4,tree,10M,44178.66,0.066,0,1.0,0.008,33.32,400.0,19.21,0.91,0.5534,0.9839,0.8473,floodlight,0.0142,hybrid_p95,CONTROLLER
3,1,2026-06-13T03:45:13.664963,onos,Tree_D2_F2_bw10M,4,tree,10M,44808.79,0.084,0.0,1.0,0.011,22.64,874.72,20.41,0.6109,0.608,0.9828,0.6412,floodlight,0.0142,hybrid_p95,CONTROLLER
4,1,2026-06-13T03:46:36.398527,ryu,Tree_D2_F2_bw50M,4,tree,50M,43724.55,0.079,0.0,1.0,0.006,0.62,33.55,23.69,0.556,0.8793,0.9802,0.6536,floodlight,0.0768,hybrid_p95,CONTROLLER
5,1,2026-06-13T03:48:06.206251,floodlight,Tree_D2_F2_bw50M,4,tree,50M,43970.08,0.06,0,1.0,0.011,34.09,407.45,12.47,0.9277,0.547,0.9894,0.8593,floodlight,0.0768,hybrid_p95,CONTROLLER
6,1,2026-06-13T03:50:38.562706,onos,Tree_D2_F2_bw50M,4,tree,50M,44976.43,0.071,0.0,1.0,0.008,17.37,819.08,21.67,0.7951,0.6498,0.9818,0.7825,floodlight,0.0768,hybrid_p95,CONTROLLER
7,1,2026-06-13T03:52:01.223887,ryu,Tree_D2_F2_bw100M,4,tree,100M,44482.91,0.071,0.0,1.0,0.006,0.64,33.55,18.15,0.646,0.8791,0.9848,0.7191,onos,0.2077,hybrid_p95,CONTROLLER
8,1,2026-06-13T03:54:21.060611,floodlight,Tree_D2_F2_bw100M,4,tree,100M,0.0,0.067,0,1.0,0.005,33.24,359.38,22.09,0.6347,0.5575,0.9815,0.6486,onos,0.2077,hybrid_p95,CONTROLLER
9,1,2026-06-13T03:56:52.135536,onos,Tree_D2_F2_bw100M,4,tree,100M,38196.09,0.053,0.0,1.0,0.011,13.07,1076.22,12.73,0.9873,0.6731,0.9892,0.9268,onos,0.2077,hybrid_p95,CONTROLLER
10,1,2026-06-13T03:58:14.688101,ryu,Tree_D2_F2_bw200M,4,tree,200M,38642.08,0.044,0.0,1.0,0.01,0.35,33.56,12.35,0.646,0.8813,0.9896,0.7199,floodlight,0.1274,hybrid_p95,CONTROLLER
11,1,2026-06-13T04:00:34.512193,floodlight,Tree_D2_F2_bw200M,4,tree,200M,0.0,0.037,0,1.0,0.008,33.7,399.71,12.12,0.91,0.5506,0.9898,0.8473,floodlight,0.1274,hybrid_p95,CONTROLLER
12,1,2026-06-13T04:03:05.671592,onos,Tree_D2_F2_bw200M,4,tree,200M,34656.96,0.044,0.0,1.0,0.005,25.25,1076.33,16.09,0.6367,0.5816,0.9865,0.6551,floodlight,0.1274,hybrid_p95,CONTROLLER
13,1,2026-06-13T04:04:28.880648,ryu,Tree_D2_F3_bw10M,9,tree,10M,33939.62,0.042,0.0,1.0,0.008,0.78,33.87,15.79,0.9902,0.8778,0.9867,0.9682,ryu,0.2939,hybrid_p95,CONTROLLER
14,1,2026-06-13T04:06:10.883791,floodlight,Tree_D2_F3_bw10M,9,tree,10M,32174.9,0.046,0,1.0,0.023,33.45,406.68,13.58,0.6268,0.5519,0.9883,0.6423,ryu,0.2939,hybrid_p95,CONTROLLER
15,1,2026-06-13T04:08:42.965624,onos,Tree_D2_F3_bw10M,9,tree,10M,34154.86,0.047,0.0,1.0,0.004,17.13,997.91,13.62,0.646,0.6451,0.9886,0.6743,ryu,0.2939,hybrid_p95,CONTROLLER
