sample_id,iteration,timestamp,controller_name,scenario_name,nodes,topology_type,bandwidth_demand,throughput_mbps,latency_ms,packet_loss_percent,score_reliability,jitter_ms,cpu_usage_percent,memory_usage_mb,flow_setup_time_ms,score_compliance,score_efficiency,score_stability,ahp_score,best_controller_label,score_gap,resource_method,connectivity_status
1,1,2026-06-12T23:31:32.092151,ryu,Tree_D2_F2_bw10M,4,tree,10M,28014.25,0.062,0.0,1.0,0.023,0.54,33.55,16.33,0.646,0.8799,0.986,0.7194,onos,0.0249,hybrid_p95,CONTROLLER
2,1,2026-06-12T23:33:02.336998,floodlight,Tree_D2_F2_bw10M,4,tree,10M,25647.17,0.048,0,1.0,0.013,40.0,376.28,19.19,0.91,0.5052,0.9838,0.838,onos,0.0249,hybrid_p95,CONTROLLER
3,1,2026-06-12T23:35:34.596006,onos,Tree_D2_F2_bw10M,4,tree,10M,26862.34,0.049,0.0,1.0,0.006,29.77,840.21,19.36,0.9309,0.5558,0.9838,0.8629,onos,0.0249,hybrid_p95,CONTROLLER
4,1,2026-06-12T23:36:57.497277,ryu,Tree_D2_F2_bw50M,4,tree,50M,33980.28,0.044,0.0,1.0,0.007,0.34,33.55,15.92,0.646,0.8814,0.9866,0.7197,onos,0.2062,hybrid_p95,CONTROLLER
5,1,2026-06-12T23:39:12.557981,floodlight,Tree_D2_F2_bw50M,4,tree,50M,0.0,0.044,0.0,1.0,0.012,33.79,372.96,12.0,0.556,0.5522,0.9898,0.5913,onos,0.2062,hybrid_p95,CONTROLLER
6,1,2026-06-12T23:41:43.893630,onos,Tree_D2_F2_bw50M,4,tree,50M,33361.81,0.043,0.0,1.0,0.003,19.47,1026.05,12.95,0.9984,0.6266,0.9892,0.9259,onos,0.2062,hybrid_p95,CONTROLLER
7,1,2026-06-12T23:43:06.471329,ryu,Tree_D2_F2_bw100M,4,tree,100M,37112.01,0.053,0.0,1.0,0.008,0.26,33.55,11.81,0.646,0.882,0.99,0.7201,floodlight,0.1183,hybrid_p95,CONTROLLER
8,1,2026-06-12T23:45:26.350715,floodlight,Tree_D2_F2_bw100M,4,tree,100M,0.0,0.036,0,1.0,0.008,28.88,383.46,11.78,0.91,0.5881,0.9901,0.8545,floodlight,0.1183,hybrid_p95,CONTROLLER
9,1,2026-06-12T23:47:57.815223,onos,Tree_D2_F2_bw100M,4,tree,100M,34419.19,0.049,0.0,1.0,0.005,12.34,1058.82,16.1,0.7228,0.6791,0.9865,0.7362,floodlight,0.1183,hybrid_p95,CONTROLLER
10,1,2026-06-12T23:49:20.525904,ryu,Tree_D2_F2_bw200M,4,tree,200M,33577.13,0.052,0.0,1.0,0.004,0.41,33.56,12.42,0.646,0.8809,0.9896,0.7199,floodlight,0.0102,hybrid_p95,CONTROLLER
11,1,2026-06-12T23:50:50.385104,floodlight,Tree_D2_F2_bw200M,4,tree,200M,32529.5,0.038,0,1.0,0.006,25.41,376.42,12.93,0.91,0.6148,0.9891,0.8596,floodlight,0.0102,hybrid_p95,CONTROLLER
12,1,2026-06-12T23:53:21.995792,onos,Tree_D2_F2_bw200M,4,tree,200M,33275.03,0.041,0.0,1.0,0.004,22.25,1005.0,12.82,0.8982,0.6064,0.9893,0.8494,floodlight,0.0102,hybrid_p95,CONTROLLER
13,1,2026-06-12T23:54:45.191562,ryu,Tree_D2_F3_bw10M,9,tree,10M,38792.14,0.04,0.0,1.0,0.006,0.63,33.87,12.04,1.0,0.8789,0.9899,0.9758,ryu,0.2523,hybrid_p95,CONTROLLER
14,1,2026-06-12T23:57:05.539329,floodlight,Tree_D2_F3_bw10M,9,tree,10M,0.0,0.043,0,1.0,0.011,30.69,395.83,12.08,0.733,0.5735,0.9898,0.7235,ryu,0.2523,hybrid_p95,CONTROLLER
15,1,2026-06-12T23:59:37.767689,onos,Tree_D2_F3_bw10M,9,tree,10M,33042.11,0.046,0.0,1.0,0.006,18.17,1074.23,15.12,0.6327,0.6349,0.9873,0.6625,ryu,0.2523,hybrid_p95,CONTROLLER
16,1,2026-06-13T00:01:01.003117,ryu,Tree_D2_F3_bw50M,9,tree,50M,36511.41,0.043,0.0,1.0,0.008,0.93,33.88,12.33,0.8889,0.8767,0.9896,0.8949,floodlight,0.0191,hybrid_p95,CONTROLLER
17,1,2026-06-13T00:02:42.781189,floodlight,Tree_D2_F3_bw50M,9,tree,50M,36953.09,0.042,0,1.0,0.011,32.33,411.93,15.3,1.0,0.5599,0.9871,0.914,floodlight,0.0191,hybrid_p95,CONTROLLER
18,1,2026-06-13T00:05:14.340536,onos,Tree_D2_F3_bw50M,9,tree,50M,36296.01,0.049,0.0,1.0,0.005,11.84,1048.58,12.35,0.556,0.6832,0.9896,0.6165,floodlight,0.0191,hybrid_p95,CONTROLLER
19,1,2026-06-13T00:06:37.446281,ryu,Tree_D2_F3_bw100M,9,tree,100M,37335.65,0.057,0.0,1.0,0.013,0.57,33.89,14.63,0.6541,0.8794,0.9876,0.7253,floodlight,0.1215,hybrid_p95,CONTROLLER
20,1,2026-06-13T00:08:19.236874,floodlight,Tree_D2_F3_bw100M,9,tree,100M,36258.48,0.038,0,1.0,0.009,33.78,420.8,12.15,0.91,0.5483,0.9897,0.8468,floodlight,0.1215,hybrid_p95,CONTROLLER
21,1,2026-06-13T00:10:50.773471,onos,Tree_D2_F3_bw100M,9,tree,100M,38203.2,0.06,0.0,1.0,0.018,9.31,1060.86,12.33,0.646,0.7018,0.9895,0.6853,floodlight,0.1215,hybrid_p95,CONTROLLER
